state_fips,year,unemployment_rate,state
01,1976,6.716666666666666,Alabama
01,1977,7.125,Alabama
01,1978,6.483333333333333,Alabama
01,1979,7.208333333333333,Alabama
01,1980,8.658333333333333,Alabama
01,1981,10.799999999999999,Alabama
01,1982,13.791666666666666,Alabama
01,1983,13.841666666666667,Alabama
01,1984,11.408333333333333,Alabama
01,1985,9.583333333333334,Alabama
01,1986,9.533333333333333,Alabama
01,1987,8.216666666666667,Alabama
01,1988,7.291666666666667,Alabama
01,1989,6.991666666666667,Alabama
01,1990,6.841666666666666,Alabama
01,1991,7.266666666666667,Alabama
01,1992,7.5249999999999995,Alabama
01,1993,7.241666666666667,Alabama
01,1994,6.183333333333334,Alabama
01,1995,5.866666666666667,Alabama
01,1996,5.183333333333334,Alabama
01,1997,4.958333333333333,Alabama
01,1998,4.466666666666667,Alabama
01,1999,4.716666666666667,Alabama
01,2000,4.6499999999999995,Alabama
01,2001,5.1499999999999995,Alabama
01,2002,5.891666666666667,Alabama
01,2003,5.941666666666666,Alabama
01,2004,5.583333333333333,Alabama
01,2005,4.441666666666666,Alabama
01,2006,4.016666666666667,Alabama
01,2007,4.066666666666666,Alabama
01,2008,5.8999999999999995,Alabama
01,2009,9.741666666666667,Alabama
01,2010,10.391666666666667,Alabama
01,2011,9.55,Alabama
01,2012,8.158333333333333,Alabama
01,2013,7.3500000000000005,Alabama
01,2014,6.766666666666667,Alabama
01,2015,6.091666666666666,Alabama
01,2016,5.783333333333334,Alabama
01,2017,4.5249999999999995,Alabama
01,2018,3.908333333333333,Alabama
01,2019,3.1999999999999997,Alabama
01,2020,6.425,Alabama
01,2021,3.35,Alabama
01,2022,2.533333333333333,Alabama
01,2023,2.4583333333333335,Alabama
01,2024,3.0833333333333335,Alabama
01,2025,2.9272727272727277,Alabama
02,1976,7.7,Alaska
02,1977,9.783333333333333,Alaska
02,1978,10.674999999999999,Alaska
02,1979,9.083333333333334,Alaska
02,1980,9.491666666666667,Alaska
02,1981,9.241666666666667,Alaska
02,1982,10.016666666666667,Alaska
02,1983,10.175,Alaska
02,1984,9.933333333333334,Alaska
02,1985,9.833333333333334,Alaska
02,1986,11.033333333333333,Alaska
02,1987,10.200000000000001,Alaska
02,1988,8.816666666666666,Alaska
02,1989,7.1499999999999995,Alaska
02,1990,7.25,Alaska
02,1991,8.316666666666666,Alaska
02,1992,8.9,Alaska
02,1993,7.808333333333334,Alaska
02,1994,7.575,Alaska
02,1995,7.308333333333334,Alaska
02,1996,7.458333333333333,Alaska
02,1997,7.008333333333333,Alaska
02,1998,6.308333333333334,Alaska
02,1999,6.358333333333333,Alaska
02,2000,6.291666666666667,Alaska
02,2001,6.291666666666667,Alaska
02,2002,7.166666666666667,Alaska
02,2003,7.675,Alaska
02,2004,7.425,Alaska
02,2005,6.95,Alaska
02,2006,6.608333333333333,Alaska
02,2007,6.258333333333333,Alaska
02,2008,6.491666666666667,Alaska
02,2009,7.8500000000000005,Alaska
02,2010,8.041666666666666,Alaska
02,2011,7.625,Alaska
02,2012,7.116666666666666,Alaska
02,2013,6.925,Alaska
02,2014,6.741666666666667,Alaska
02,2015,6.308333333333334,Alaska
02,2016,6.616666666666667,Alaska
02,2017,6.608333333333333,Alaska
02,2018,6.083333333333333,Alaska
02,2019,5.625,Alaska
02,2020,8.283333333333333,Alaska
02,2021,6.366666666666667,Alaska
02,2022,4.266666666666667,Alaska
02,2023,4.2250000000000005,Alaska
02,2024,4.616666666666666,Alaska
02,2025,4.790909090909091,Alaska
04,1976,9.825000000000001,Arizona
04,1977,8.416666666666666,Arizona
04,1978,5.958333333333333,Arizona
04,1979,5.041666666666667,Arizona
04,1980,6.608333333333333,Arizona
04,1981,6.175,Arizona
04,1982,9.924999999999999,Arizona
04,1983,9.091666666666667,Arizona
04,1984,4.966666666666667,Arizona
04,1985,6.3500000000000005,Arizona
04,1986,7.016666666666667,Arizona
04,1987,6.5,Arizona
04,1988,6.408333333333334,Arizona
04,1989,5.241666666666666,Arizona
04,1990,5.266666666666667,Arizona
04,1991,5.816666666666666,Arizona
04,1992,7.574999999999999,Arizona
04,1993,6.333333333333333,Arizona
04,1994,6.2,Arizona
04,1995,5.316666666666666,Arizona
04,1996,5.4750000000000005,Arizona
04,1997,4.616666666666666,Arizona
04,1998,4.258333333333334,Arizona
04,1999,4.483333333333333,Arizona
04,2000,3.9583333333333335,Arizona
04,2001,4.7250000000000005,Arizona
04,2002,6.183333333333334,Arizona
04,2003,5.7749999999999995,Arizona
04,2004,4.966666666666667,Arizona
04,2005,4.641666666666667,Arizona
04,2006,4.258333333333334,Arizona
04,2007,3.716666666666667,Arizona
04,2008,5.741666666666667,Arizona
04,2009,9.708333333333334,Arizona
04,2010,10.366666666666667,Arizona
04,2011,9.491666666666667,Arizona
04,2012,8.4,Arizona
04,2013,7.841666666666668,Arizona
04,2014,6.825,Arizona
04,2015,6.116666666666667,Arizona
04,2016,5.4750000000000005,Arizona
04,2017,4.95,Arizona
04,2018,4.808333333333334,Arizona
04,2019,4.8,Arizona
04,2020,7.816666666666666,Arizona
04,2021,5.0249999999999995,Arizona
04,2022,3.7416666666666667,Arizona
04,2023,3.6833333333333336,Arizona
04,2024,3.6,Arizona
04,2025,4.218181818181818,Arizona
05,1976,6.908333333333334,Arkansas
05,1977,6.466666666666666,Arkansas
05,1978,6.2250000000000005,Arkansas
05,1979,6.258333333333333,Arkansas
05,1980,7.541666666666667,Arkansas
05,1981,8.591666666666667,Arkansas
05,1982,9.475,Arkansas
05,1983,9.733333333333333,Arkansas
05,1984,8.525,Arkansas
05,1985,8.475,Arkansas
05,1986,8.533333333333333,Arkansas
05,1987,8.116666666666667,Arkansas
05,1988,7.675,Arkansas
05,1989,7.05,Arkansas
05,1990,6.841666666666666,Arkansas
05,1991,7.308333333333334,Arkansas
05,1992,7.016666666666667,Arkansas
05,1993,6.116666666666667,Arkansas
05,1994,5.458333333333333,Arkansas
05,1995,4.858333333333333,Arkansas
05,1996,5.183333333333334,Arkansas
05,1997,5.116666666666666,Arkansas
05,1998,5.058333333333334,Arkansas
05,1999,4.516666666666667,Arkansas
05,2000,4.166666666666667,Arkansas
05,2001,4.75,Arkansas
05,2002,5.325,Arkansas
05,2003,5.766666666666667,Arkansas
05,2004,5.591666666666666,Arkansas
05,2005,5.2749999999999995,Arkansas
05,2006,5.208333333333333,Arkansas
05,2007,5.408333333333334,Arkansas
05,2008,5.3999999999999995,Arkansas
05,2009,7.716666666666666,Arkansas
05,2010,7.841666666666666,Arkansas
05,2011,7.891666666666667,Arkansas
05,2012,7.241666666666667,Arkansas
